image	output	message	updated_at
floorplan/03_205_beltway-office-park-beltway-office-park-tower-c_20180104022940_71490.jpg	clean-images/floorplan/03_205_beltway-office-park-beltway-office-park-tower-c_20180104022940_71490.jpg	Codex removal failed	2026-06-28T07:32:51+07:00
floorplan/03_232_pondok-indah-office-tower-pondok-indah-office-tower-3_20170222074652_34521.jpg	clean-images/floorplan/03_232_pondok-indah-office-tower-pondok-indah-office-tower-3_20170222074652_34521.jpg	Dimension verification failed	2026-06-28T07:36:44+07:00
floorplan/03_337_mangkuluhur-tower-mangkuluhur-tower_20170222074058_75670.jpg	clean-images/floorplan/03_337_mangkuluhur-tower-mangkuluhur-tower_20170222074058_75670.jpg	Missing output file	2026-06-28T07:41:50+07:00
floorplan/03_401_st-moritz-office-tower-st-moritz-office-tower_20170310045313_75462.jpg	clean-images/floorplan/03_401_st-moritz-office-tower-st-moritz-office-tower_20170310045313_75462.jpg	Codex removal failed	2026-06-28T07:32:27+07:00
floorplan/03_440_landmark-pluit-land-mark-pluit_20170310081353_64451.jpg	clean-images/floorplan/03_440_landmark-pluit-land-mark-pluit_20170310081353_64451.jpg	Missing output file	2026-06-28T07:27:29+07:00
floorplan/03_474_wisma-bakti-mulia-wisma-bakti-mulia_20180518085004_41602.jpg	clean-images/floorplan/03_474_wisma-bakti-mulia-wisma-bakti-mulia_20180518085004_41602.jpg	Missing output file	2026-06-28T07:27:13+07:00
floorplan/03_603_gold-coast-gold-coast-office-tower_20190729042416_67794.jpg	clean-images/floorplan/03_603_gold-coast-gold-coast-office-tower_20190729042416_67794.jpg	Codex removal failed	2026-06-28T07:32:30+07:00
floorplan/03_85_satrio-tower-satrio-tower_20171212092247_21025.jpg	clean-images/floorplan/03_85_satrio-tower-satrio-tower_20171212092247_21025.jpg	Codex removal failed	2026-06-28T07:33:29+07:00
floorplan/03_8_k-link-tower-k-link-tower_20180502101144_37139.jpg	clean-images/floorplan/03_8_k-link-tower-k-link-tower_20180502101144_37139.jpg	Dimension verification failed	2026-06-28T07:30:17+07:00
floorplan/04_112_office-8-office-8_20170316043135_23898.jpg	clean-images/floorplan/04_112_office-8-office-8_20170316043135_23898.jpg	Codex removal failed	2026-06-28T07:32:36+07:00
floorplan/04_124_sampoerna-strategic-square-sampoerna-strategic-north-tower_20170222072529_96469.jpg	clean-images/floorplan/04_124_sampoerna-strategic-square-sampoerna-strategic-north-tower_20170222072529_96469.jpg	Missing output file	2026-06-28T07:31:28+07:00
floorplan/04_154_sinarmas-land-plaza-ex-plaza-bii-sinarmas-land-plaza-menara-1_20170316044022_43777.jpg	clean-images/floorplan/04_154_sinarmas-land-plaza-ex-plaza-bii-sinarmas-land-plaza-menara-1_20170316044022_43777.jpg	Codex removal failed	2026-06-28T07:32:27+07:00
floorplan/04_155_sinarmas-land-plaza-ex-plaza-bii-sinarmas-land-plaza-menara-2_20170316044108_78540.jpg	clean-images/floorplan/04_155_sinarmas-land-plaza-ex-plaza-bii-sinarmas-land-plaza-menara-2_20170316044108_78540.jpg	Missing output file	2026-06-28T07:36:08+07:00
floorplan/04_157_sinarmas-land-plaza-ex-plaza-bii-sinarmas-land-plaza-menara-3_20170316044214_26524.jpg	clean-images/floorplan/04_157_sinarmas-land-plaza-ex-plaza-bii-sinarmas-land-plaza-menara-3_20170316044214_26524.jpg	Dimension verification failed	2026-06-28T07:35:55+07:00
floorplan/04_165_gallery-west-gallery-west_20170222074747_98515.jpg	clean-images/floorplan/04_165_gallery-west-gallery-west_20170222074747_98515.jpg	Codex removal failed	2026-06-28T07:32:41+07:00
floorplan/04_1_capital-place-capital-place_20170410041742_54911.jpg	clean-images/floorplan/04_1_capital-place-capital-place_20170410041742_54911.jpg	Codex removal failed	2026-06-28T07:32:46+07:00
