missing_slug	score	suggested_content_id	suggested_building_name	content_url
kota-kasablanka-tower-b-prudential-center	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
kota-kasablanka-tower-b-prudential-center	0.88		NT Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/596
kota-kasablanka-tower-prudential-center	0.88		Prudential Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/295
kota-kasablanka-tower-prudential-center	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
kota-kasablanka-tower-prudential-center	0.88		NT Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/596
l-avenue-office	0.88		L' Avenue Office Park	
l-avenue-office	0.67		Revenue Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/330
l-avenue-office	0.62		Desa Altel Office	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/487
land-mark-pluit	0.97		Landmark Pluit	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/139
land-mark-pluit	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
land-mark-pluit	0.72		Landmark Tower 1	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/411
landmark-pluit-land-mark-pluit	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
landmark-pluit-land-mark-pluit	0.88		Landmark Pluit	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/139
landmark-pluit-land-mark-pluit	0.48		Gedung Bank Panin Pusat	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/403
mangkuluhur-tower	0.88		Mangkuluhur City	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/494
mangkuluhur-tower	0.69		AKR Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/189
mangkuluhur-tower	0.65		MNC Bank Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/146
manhattan-square-tower-1	0.94		Manhattan Square	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/604
manhattan-square-tower-1	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
manhattan-square-tower-1	0.68		Graha Satria Tower 1	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/176
menara-btpn	0.88		Menara SMBC (Ex Menara BTPN)	
menara-btpn	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
menara-btpn	0.86		Menara BNI	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/571
menara-citibank-pondok-indah	0.88		Menara Pondok Indah (Ex Menara Citibank - Pondok Indah)	
menara-citibank-pondok-indah	0.88		T Tower	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/117
menara-citibank-pondok-indah	0.72		Wisma BCA - Pondok Indah	https://cms.rumah123.com/admin/content-manager/collectionType/api::office-venue.office-venue/480
